response_code,title,description
100,HTTP_CONTINUE,Continue
101,HTTP_SWITCHING_PROTOCOLS,Switching Protocols
200,HTTP_OK,OK
201,HTTP_CREATED,Created
202,HTTP_ACCEPTED,Accepted
203,HTTP_NON_AUTHORITATIVE,Non-Authoritative Information
204,HTTP_NO_CONTENT,No Content
205,HTTP_RESET_CONTENT,Reset Content
206,HTTP_PARTIAL_CONTENT,Partial Content
300,HTTP_MULTIPLE_CHOICES,Multiple Choices
301,HTTP_MOVED_PERMANENTLY,Moved Permanently
302,HTTP_MOVED_TEMPORARILY,Found
303,HTTP_SEE_OTHER,See Other
304,HTTP_NOT_MODIFIED,Not Modified
305,HTTP_USE_PROXY,Use Proxy
307,HTTP_TEMPORARY_REDIRECT,Temporary Redirect
400,HTTP_BAD_REQUEST,Bad Request
401,HTTP_UNAUTHORIZED,Unauthorized
402,HTTP_PAYMENT_REQUIRED,Payment Required
403,HTTP_FORBIDDEN,Forbidden
404,HTTP_NOT_FOUND,Not Found
405,HTTP_METHOD_NOT_ALLOWED,Method Not Allowed
406,HTTP_NOT_ACCEPTABLE,Not Acceptable
407,HTTP_PROXY_AUTHENTICATION_REQUIRED,Proxy Authentication Required
408,HTTP_REQUEST_TIMEOUT,Request Timeout
409,HTTP_CONFLICT,Conflict
410,HTTP_GONE,Gone
411,HTTP_LENGTH REQUIRED,Length Required
412,HTTP_PRECONDITION_FAILED,Precondition Failed
413,HTTP_REQUEST_ENTITY_TOO_LARGE,Request Entity Too Large
414,HTTP_REQUEST_URI_TOO_LARGE,Request-URI Too Long
415,HTTP_UNSUPPORTED_MEDIA_TYPE,Unsupported Media Type
416,HTTP_RANGE_NOT_SATISFIABLE,Requested Range Not Satisfiable
417,HTTP_EXPECTATION_FAILED,Expectation Failed
500,HTTP_INTERNAL_SERVER_ERROR,Internal Server Error
501,HTTP_NOT IMPLEMENTED,Not Implemented
502,HTTP_BAD_GATEWAY,Bad Gateway
503,HTTP_SERVICE_UNAVAILABLE,Service Unavailable
504,HTTP_GATEWAY_TIME_OUT,Gateway Timeout
505,HTTP_VERSION_NOT_SUPPORTED,HTTP Version Not Supported